ZipCode,Income,Income Change,Population,Density,White Percentage
63045,65300,1.01744,998954,1162.35,68.9
79772,58384,1.60655,13783,3.78197,19.5
62070,54392,1.08668,5089,10.799,98.3
91615,64251,1.03872,9818605,1628.93,27.8
80121,73925,1.12911,572003,422.951,63.2
99507,83280,1.0231,291826,37.2879,62.6
77273,60146,1.04857,4092459,1703.04,33
62018,57890,0.999582,269282,220.48,86.7
63557,43642,1.03805,12761,12.1106,96.4
72464,33935,1.0471,16083,16.3098,96.9
94023,116178,1.19972,1781642,867.333,35.2
59851,51270,1.07217,109299,19.2533,91
99115,60452,1.1131,38431,9.45629,67.8
75491,54370,1.04026,120877,86.8915,78.7
79533,45187,0.869126,3378,2.60232,87.7
68787,62623,1.24809,9595,11.8624,92.7
66740,44294,1.08238,16512,17.9353,91.7
77075,60146,1.04857,4092459,1703.04,33
62547,52415,1.12699,34800,28.9827,95.8
77463,79270,1.08364,313166,159.287,53.2
84630,51720,1.09413,27822,10.3641,86.7
96728,59297,0.967001,185079,40.5476,31.2
78473,55048,1.14072,340223,313.652,32.9
91403,64251,1.03872,9818605,1628.93,27.8
66617,55199,1.04302,177934,193.132,75.6
71047,40866,0.985749,254969,193.332,47.8
62088,53778,1.02233,47765,32.9518,97
93234,51261,0.990179,930450,99.6912,32.7
98320,54471,1.06091,29872,7.16379,89.3
80751,48922,1.07117,22709,7.03515,78.2
90407,64251,1.03872,9818605,1628.93,27.8
65715,32601,0.914849,9723,8.26891,96.5
95051,116178,1.19972,1781642,867.333,35.2
77460,49504,1.07907,20874,16.0613,59.9
65285,43761,0.958777,25529,21.8339,88.6
93483,70699,1.10533,269637,53.7743,71.1
95381,57387,1.00732,514453,212.158,46.7
66222,84915,1.03287,544179,681.726,82
65109,57587,0.958619,75990,116.962,83.2
80831,65334,1.04136,622263,177.516,72
68638,45833,0.987883,3735,4.61773,97.1
62053,54392,1.08668,5089,10.799,98.3
62357,42664,0.951714,16430,11.3473,96.2
58344,48798,1.12014,3126,1.39323,96.5
77613,48463,1.0277,252273,190.623,44.6
79541,50818,1.07485,131506,101.897,67
88265,59797,1.22135,64727,10.3787,43
99328,51111,1.0511,4078,2.21005,89.5
98643,54085,1.20149,3978,6.82898,92.5
78076,31113,1.13913,14018,10.4615,6.1
62840,41414,1.08032,39561,55.5833,96.9
97024,64337,1.16291,735334,767.333,72.1
90080,64251,1.03872,9818605,1628.93,27.8
86032,40054,0.903175,107449,7.14662,43.9
90071,64251,1.03872,9818605,1628.93,27.8
65439,37188,1.1191,10630,11.829,95.6
96044,44200,1.07194,44900,3.93385,79.5
90745,64251,1.03872,9818605,1628.93,27.8
68770,56775,1.20127,6000,6.73553,88.2
78382,44865,0.953974,23158,54.2022,70.6
80722,48922,1.07117,22709,7.03515,78.2
65302,44382,1.057,42201,37.1757,87
85935,40054,0.903175,107449,7.14662,43.9
74468,42689,1.0347,70990,54.7402,58.3
77625,59105,1.00481,54635,45.4643,88
97844,55440,1.13257,11173,2.67533,64.6
94552,92574,1.19662,1510271,1290.13,34.1
76596,51440,0.973836,75388,51.7976,62
89414,70373,1.13402,16528,0.96193,68.9
87566,,,40246,4.41935,12.8
71309,44852,0.989375,131613,71.9591,62
74804,47683,1.06686,69442,58.5644,74.4
65605,41463,1.02887,35597,28.5598,88.5
78772,71767,1.19031,1024266,738.011,50.5
94557,92574,1.19662,1510271,1290.13,34.1
62807,46102,1.06089,39437,41.4016,92.4
76937,43355,0.79252,4087,2.97269,44.3
59701,42237,0.997228,34200,23.183,92.1
68461,58009,1.02315,285407,193.058,84.3
60532,88711,1.03892,916924,1524.72,70.5
63150,41107,1.09554,319294,3325.57,42.2
61813,69271,1.11434,16729,22.3695,97.3
62849,46102,1.06089,39437,41.4016,92.4
96092,42899,1.00885,63463,12.5732,71.9
63385,81411,1.03815,360485,374.041,89.1
75962,43598,1.17814,64524,48.7662,61.5
63052,63030,0.996003,218733,203.593,95.4
77868,50298,1.14409,26604,24.1517,60.6
82701,52867,0.88044,7208,1.56594,93.8
92236,63948,0.992807,2189641,206.948,39.7
98849,45808,1.06569,41120,3.4108,68.3
81002,44634,0.983574,159063,40.8889,54.1
97301,56097,1.09208,315335,133.873,68.7
81632,84685,1.06467,52197,18.3748,67.3
71479,36868,0.880056,14890,15.9625,84.1
85547,42092,1.00454,53597,7.63679,65.9
62351,51398,1.05186,67103,44.589,93
77598,60146,1.04857,4092459,1703.04,33
71213,41314,0.93044,153720,170.646,59.6
77533,49850,0.973427,75643,47.4871,69.2
91896,64251,1.03872,9818605,1628.93,27.8
71861,36148,0.922378,24552,22.4473,59.2
78522,37132,1.06519,406220,347.67,10.7
61919,54218,1.0359,19980,27.8425,92.2
71058,30358,0.756324,41207,47.334,63.3
69120,49891,1.05621,10939,2.38268,96.5
68054,79549,1.04488,158840,364.008,83.8
81243,54979,0.999038,15324,2.86999,89.1
77973,55631,1.0231,86793,75.7292,47.9
92427,60164,0.966223,2035210,67.9482,33.3
59330,59820,1.05711,8966,1.73642,94.5
94111,104552,1.31505,805235,9914.67,41.9
77504,60146,1.04857,4092459,1703.04,33
86042,40054,0.903175,107449,7.14662,43.9
60122,76912,1.01789,515269,544.243,59
63347,61628,1.04489,52566,48.8159,93.9
79453,50473,1.06356,278831,214.082,57.3
73644,48725,1.00132,22119,16.2347,78.9
62459,54951,1.05881,9698,11.7745,98.1
74569,38821,1.11668,14182,9.7358,72.8
58333,57989,1.2958,4207,1.48867,98.5
95551,45528,1.01854,134623,21.4415,77.2
71253,36528,0.966359,11604,22.4246,80.5
88034,37880,0.928455,29514,5.24619,48.6
66963,42552,1.01071,3077,1.98155,96.2
67566,49174,1.06447,64511,31.3965,86.1
91404,64251,1.03872,9818605,1628.93,27.8
76820,40708,0.943347,4012,3.17491,77.1
64021,54661,1.01588,33381,31.3324,92.9
93002,,,,,
64502,50457,1.06746,89201,125.079,86.3
66949,42552,1.01071,3077,1.98155,96.2
87194,51643,0.975476,662564,377.758,41.5
85282,61606,1.0036,3817117,288.05,58.7
85055,61606,1.0036,3817117,288.05,58.7
61826,51692,1.02427,201081,117.579,70.9
79843,27061,0.822348,7818,1.5178,14.5
68527,58009,1.02315,285407,193.058,84.3
74650,47413,1.06151,16577,18.411,79.7
59322,45893,0.958204,1206,0.114796,98.4
84731,54212,1.17119,6629,1.55918,86
73036,71157,1.05503,115541,83.5677,79.7
62905,49182,1.10939,17808,26.17,92.4
77842,46839,1.10845,194851,255.104,59.1
92836,85398,1.03021,3010232,2621.98,44.1
84721,46809,0.993708,46163,8.72295,87.1
95416,76753,1.08792,483878,187.546,66.1
80150,73925,1.12911,572003,422.951,63.2
65103,57587,0.958619,75990,116.962,83.2
95401,76753,1.08792,483878,187.546,66.1
97027,76597,1.10789,375992,98.6589,84.5
68715,52857,1.07522,34876,33.5494,83.3
79975,44597,1.10085,800647,586.128,13.1
98848,54982,1.1583,89120,14.6512,57.3
63541,39697,1.13536,4431,8.41407,98.2
80447,70469,1.0458,14843,4.62338,89.7
88023,37880,0.928455,29514,5.24619,48.6
87068,45084,0.961709,76569,48.8234,36.2
79987,44597,1.10085,800647,586.128,13.1
94278,63902,1.01545,1418788,879.781,48.4
98581,51752,1.01171,102410,42.318,85.8
59414,48160,1.01896,81327,13.8546,87.4
75412,37955,0.918842,12860,8.46486,73.9
95931,56704,1.05914,21419,11.0245,39.8
98119,89418,1.17822,1931249,399.364,64.8
67518,51033,0.960757,3107,1.76882,91
63947,34391,1.00728,13521,11.0074,96.5
98349,67868,1.05183,795225,204.571,70.3
95746,84357,1.01625,348432,138.952,76.1
63401,46762,1.02643,28781,39.0336,91
68854,64042,1.13283,9124,9.59807,96.9
72141,36897,1.0354,17295,15.8939,94.1
68131,61688,1.06646,517110,873.762,71.9
65542,35277,1.00274,26008,13.9278,92.3
85006,61606,1.0036,3817117,288.05,58.7
80427,75120,1.16087,5441,20.5586,90.9
72312,29263,0.959206,21757,21.1536,34.6
64467,40168,1.02929,8957,7.18488,96.7
61202,52630,1.02111,147546,186.192,75.7
99674,75905,1.00551,88995,0.769073,82.8
96021,42899,1.00885,63463,12.5732,71.9
67110,54915,0.993327,24132,12.9058,91.3
63137,65300,1.01744,998954,1162.35,68.9
78259,55456,1.05714,1714773,1031.61,30.3
81092,34392,0.847107,6499,2.6167,59
76207,83376,1.05883,662614,486.442,64.4
99324,56533,1.1125,58781,21.5419,74.2
91739,60164,0.966223,2035210,67.9482,33.3
94568,92574,1.19662,1510271,1290.13,34.1
93255,52479,0.999519,839631,68.3238,38.6
76040,64874,1.05202,1809034,1414.12,51.8
66804,58644,1.14006,10178,8.34783,96.7
70401,46297,1.06584,121097,110.172,64.3
63377,61628,1.04489,52566,48.8159,93.9
75364,56854,1.06287,2368139,1838.46,33.1
85205,61606,1.0036,3817117,288.05,58.7
93390,52479,0.999519,839631,68.3238,38.6
81011,44634,0.983574,159063,40.8889,54.1
75790,51935,1.08136,52579,43.3874,85.8
98503,69592,1.02436,252264,156.55,78.9
86045,57616,1.0437,134421,4.72473,55.2
93014,,,,,
77510,69369,1.06683,291309,473.089,59.3
84104,71230,1.10136,1029655,730.283,74
64680,42149,0.908282,9295,8.15879,95.7
80516,70908,1.14387,252825,36.3197,67.6
94087,116178,1.19972,1781642,867.333,35.2
89319,62993,1.16379,10030,0.670755,76.3
62969,34709,1.07964,8238,19.5161,60.5
67351,45173,0.997806,35471,34.4274,80.9
98450,67868,1.05183,795225,204.571,70.3
71260,43083,0.992537,22721,17.674,67.8
78380,55048,1.14072,340223,313.652,32.9
94604,92574,1.19662,1510271,1290.13,34.1
67140,54915,0.993327,24132,12.9058,91.3
60108,88711,1.03892,916924,1524.72,70.5
71016,30300,0.852679,14353,12.684,54.7
61007,59707,0.960811,53497,38.1828,88.6
63771,42231,1.00422,39191,59.704,84.9
77985,53021,1.14781,19263,14.8526,76.2
95969,48443,1.00641,220000,77.285,75.2
82640,55991,1.10031,8569,1.06147,94.4
68849,56952,1.084,46102,27.1831,89.2
70142,39576,0.94732,343829,763.86,30.5
99371,49142,1.07947,18728,4.52651,38.8
76140,64874,1.05202,1809034,1414.12,51.8
83451,53311,1.12439,13242,3.51362,85.1
61943,44071,1.08417,53873,63.6883,91.6
76227,83376,1.05883,662614,486.442,64.4
87749,33783,0.77261,13750,2.33936,49.9
73944,50450,1.01398,20640,6.44788,52.8
75354,56854,1.06287,2368139,1838.46,33.1
67639,48272,0.975491,5642,3.72579,95.6
95044,116178,1.19972,1781642,867.333,35.2
79837,29318,1.16104,3476,0.549338,18.1
73841,58706,1.05998,20081,10.3509,82.8
78632,53006,1.28158,19807,14.0466,44.6
